kanji,story
一,"One down, 2041 to go. ;).","This one is too difficult to remember. If the other Kanji are this difficult, I'm giving up.","One Line to Rule Them All, One Way to Write it; One Stroke From Left to Right, and With a Pen Lift, Bind it."
献,A South Korean street vendor is offering chihuahu snacks.,"If you go to someones place and the food sucks, you lower it down south of the table as an offering to their dog.",KFC is offering southern fried chiwawa for a limited time only.
門,"Heisig's stroke order in the 4th edition (and earlier) is wrong, so be careful -- first is the left-most vertical stroke, then draw the rest of the ""sun"" attachment as you would normally. In fact, if you just wrote it out as two suns with elongated sides, you'll get the stroke order exactly correct.",The gates to Hell. guarded by Cerebus or ... Bill Gates?,Bill Gates is just about to walk into a saloon.
問,"A mouth on the Gates of Hell says ""Answer me these questions three, or thru the gates ye soon will be"".",The mouth is the gate from which questions are asked.,There's a mouth on the gates that asks you a question before letting you in.
閲,A little devil at the gates of hell reviews your record to see if you're evil enough to get in.,Gates' IS the devil. He releases software that clearly hasn't gone through any kind of review process.,"As I was reviewing for my exam at a quiet saloon, the devil popped out of nowhere and offered to make sure I pass. But I told him no way, since that's cheating. Besides, I'm just reviewing things I already know. I won't fail. But he kept insisting, so I kicked him and sent him crashing through the entrance gates."
閥,You set a guard at the gate to fell intruders not of your clique.,"The felled souls of the world, cut down like trees, pass through the gates of hell and join the clique.",A clique is a small exclusive group of people usually gathering around a leader or for a common purpose. Here we see Mr. T's fan club meeting for a fiesta at a very select club called the 'Perly Gates'.
間,"The interval between star systems (suns) was too large, so the stargates were created to travel between them.",We open the gates at regular intervals to let a bit of sun in.,At regular intervals the gates of Hell burn like the sun keeping all within nice and toasty. Interval paining.
闇,"Through the gates of hell there is no sound, no light, its all pitch dark.","I like to think of a horror movie where the protagonists enter a graveyard when suddenly their flashlights go out and it becomes pitch dark, whereupon they hear the sound of the gate creaking shut behind them.","When it is pitch dark, you must navigate by sound."
簡,The simplicity of bamboo plant is in all its joints being at equal intervals.,[simplicity; brevity] The ししおどし is a bamboo device for scaring birds from the gates of your garden by clacking against a stone at regular intervals. Its design is simplicity itself. (Inspired by PepeSeco).,"Wordplay: simplicity -> simcity. You are playing a game of SimCity, a city simulator. You can choose from one of several pre-defined city layouts. One of the city layouts is called ""SimpliCity (a simple city for SimCity)"". This layout has nothing but an empty field with bamboo trees planted at regular intervals."
開,"To open the gate, use your both hands.","Sure you can squeeze through these gates by kicking them or pushing them with your body, but if you want to get them wide open, you need to do that with both your hands.",To open those big heavy Gates of Hell it takes both hands...
閉,"The gates are too big to be closed by man. Only a genie can. ""Close sesame!""","""オー no! I stayed out past curfew, and now the gate has been closed!""","Bill GATES keeps his operating system CLOSED, does that make him a GENIUS? I think not."
閣,"To keep this distinct from other kanji such as ""watchtower"" and ""pagoda"", I use the mnemonic ""towering tower"". -- In some old 8-bit kung-fu videogame, with a plot similar as Bruce Lee's last, unfinished movie, the hero must break through a gate at each level of the towering tower, fighting with opponents using various styles of kung-fu until he meets the finale at the topmost level of the ""towering tower"".",Remember the two towers from lord of the rings... each has it's own - very difficult to master - entrance gate.,"There is a tower on each side of the gate, they are posts for archers."
閑,"Imagine the gates the Garden of Eden, the ultimate land of leisure. You're not allowed in, but if you peek through you can see trees.","Beyond the Gates of Hell, there is only one leisure spot for all the billions of souls within, a single tree beneath which people can sit for a few seconds. Ah, but that moment of leisure makes the rest of Hell that much worse...","Imagine Leisure Suit Larry walking through the saloon doors with wood in his pants, hoping to get lucky."
聞,Press your ear to the gates and see if you can hear what is going on inside.,"To distinguish from listen, you hear someone at the door (gate).","At the GATES of Hell, along with the mouth that asks the impossible questions there is of course a giant EAR to HEAR the answers. The ear doesn't really listen as it knows they will always be wrong."
潤,"Forgetting about the moat, the king stepped out of his gate and landed in the water. Needless to say he got wet.","(I had the same idea as Dingomick) I imagine some prankster who put a bucket full of water on top of the huge gates, so that it would fall on the king as he came through them. See the king now, between the gates, all wet, dripping drops of water.",Some prankster threw water on the king as he came to the city gates. Now he's all wet.
欄,A column of text scratched on a black tree beside the gates of Hell: To the East lies The Beast.,"Ancient morning newspaper column, posted daily on a tree at the east gate. Why the east gate? Well, it's a morning paper, and the sun rises in the east, so the morning rays shining through the gate illuminate it nicely. I picture all the ojisan who rise in the wee hours gathering around the tree each, waiting for the sun rise so they can read the paper. ""Been coming here every day for 40 years! Can't start the day without my paper!""","This is a column of text, as used in a newspaper. The trick for this kanji is that to mark the columns in the old printers, you place wooden blocks at certain intervals of the paper. Now, look at the right part; it looks as if you had put a wooden block in an interval primitive. That graphical reminder will help you to remember this kanji!!"
闘,"During the saloon brawl, one guy got glued to a table and was tossed out through the saloon gates. But he really wanted to fight, so he ran back through those gates (with the table still glued to his back) only to be tossed out again. Imagine him repeatedly running in and being tossed back out.","Food fight! Look, beans are stuck to the gates like glue.",Bill Gates and Mr. Bean having a glue fight.
倉,"Hint : the ""godown"" is like a warehouse, it's on the docks and mostly in Asia. To make an image distinct from that of ""warehouse"" or ""storehouse"", etc, I picture the goods stored there, piled up on pallets really high, and thus they have to ""godown"" before they can be taken outside. The front of this godown is a ""meeting of small gates"", i.e. a row of gates through which goods come in and out. The mouth can be an opening somewhere in the back, or the top, where cranes lift down the goods.","Note: this is not gate but actually a variation of door and is written as such, with the vertical stroke last not first.","Imagine a mafia godown at the docks where shifty mafia types meet and lots of dodgy deals godown. This is a very secret place, so there is only one gate, and to enter you have to say the password with your mouth."
創,Back in the day the people were so excited to get hold of the Sega genesis they looted the godown with sabers.,"The genesis of my hatred of kanji learning is when you get so mad that you have to look up what a godown is, and you end up cutting the book (or even Heisig himself) up with a saber.","In the story of Genesis Adam and Even were kicked out of the Garden of Eden. They had to ""go down"" out of the garden and the entrace was guarded with sabers to prevent their return."
非,This looks like a pictogram of 3 fingers from each hand trying to open up a crack in a wall. That's an un-believable way to escape from prison OR the UN- have a prison in the Hague.,"People in the jail cell are un-friendly, un-comely, and un-cooperative.",Un-zipped.
俳,I pity the fool/ Who put me in this jail cell/ I pity the fool. (Credit taijuando).,I pity the fool/ Who put me in this jail/ I pity the fool.,Person is put in jail for writing a haiku with the wrong number of syllables.
排,"When ordered to go to the jail cell, the defendant gave the judge the finger and said he repudiated all that the legal system stood for if they were going to send an innocent man like him to jail.","He reached his fingers through the bars of his jail cell, trying to touch his beloved. But she repudiated him and left.",Once he had his fingers around the jail cell bars he repudiated all ties with his former gang!
悲,"Saddness is like having your heart captured and jailed because of some sad or terrible event, etc. Here the sad heart waits for someone to come and un-lock their jail cell and set them free again.","Stuck in a jail cell with his heart crying out to see his family again, the prisoner has never felt so sad.",A jail cell will make any heart sad.
罪,"It is his guilt that is causing them. He is having these nightmares where the great (sideways) eye appears at the top of his jail cell, and is staring down intently at him. Guilt is a merciless tormentor.",EYE-witnesses helped prove this person's GUILT and put them in a JAIL CELL... now constantly under the watchful EYES of the prison guards.,He is guilty! you can see it in his eyes.. Throw that man into a jail cell!
輩,"Some man jailed in Russia, is freed by his comrade (from the Communist party perhaps), who crashes into the jail cell with a vehicle.",(+fuaburisu) But it's the wrong jail cell! Your comrade is one floor above.,"When you're in JAIL, your COMRADE will come and DRIVE a car through the JAIL CELL, coming FROM BELOW to bust you out."
扉,The only way out of a jail cell is to serve your time and walk out the front door. There are no other doors.,"An old man serving a very long jail sentence painted a life-like door at the back of his jail cell, hlafway open, with the blue sky, clouds, etc, as some kind of symbol of freedom. Every time the prison officers come to take him they ask him to come to the door. The old man with a grin always answers ""Which door?"", looking at his painted door with a grin. And the prison officer always answer, sighing - ""The front door !"".","It's a sad reflection on modern times that our front doors need to be built like jail cells to keep us safe. 扉 (とびら) : door, opening."
侯,"Mr. T is made a marquis after he and the A-Team save the life of a duke. The duke also gives Mr. T the key to the gentleman's dart room where one can relax in luxury, smoke a cigar, and play a friendly game of darts. Mr. T eagerly accepts the key and places it on one of the gold chains that hang around his neck which acts as a key chain.",(Going off various) Mr. T. is made a marquis and given the key to the city. But somebody disagrees with it and assassinates him with a dart.,MR.T had one final challenge before he would be promoted to a MARQUIS. He must shoot a DART through the hole of a KEY.
喉,"""If the marquis opens his mouth one more time, I'll cut his throat"", his rival the baron said.","I think of ""clearing your throat"". Some stuffy guy opens his mouth to clear his throat so the marquis can speak.","Every time the MOUTH of the MARQUIS opens, it's ""ahem ahem"" clearing his throat."
候,The marquis has absolutely no interest in issuses of climate change. He's old and near death. [Don't forget the walking stick to symbolize his old age.],The marquis moves to a warmer climate after he gets old enough to need a walking stick to get around.,In his old age (walking stick) Marquis T becomes Al Gore's climate control nemisis.
決,"""Decide!"" ""Decide?! Death by drowning in polluted water or death by guillotine. How can I decide?"" I asked.",To decide if someone is a witch or not first dunk them in water. If they don't drown they are a witch and can be sent to the guillotine.,"Waterboarding? Guillotine? The Decider has decided both these are legal and moral. I keep mixing this up with 択 (#1155). Try associating these negative options with our half-wit ""decider"" to build a distinction."
快,A large crowd in a cheerful state of mind applaude each criminal as they become victims of the guillotine.,Data is cheerful as he goes to the guillotine. That's because he knows he can just solder his head back on afterwards.,A cheerful crowd of insulted aliens applaude as Data's head is chopped off by guillotine.
偉,"Mr. T is certainly an ADMIRABLE PERSON, so much so that parents are buying lockets with his picture in it and having their children wear them like amulets.","For locket: The locket (key dangling from something, the vertical stroke) opens like a mouth, but you need a jeweler's monocle to make out the pictures within. ----- Dracula survives a staking attempt when the locket with Mina's admirable picture deflects the blow. ""It was an admirable attempt,"" he admits as he sucks his attacker's blood.","She thought that Mr. T was a tough, heartless guy, but then she found out that he carries around a locket with a picture of his daughter. Suddenly, she found it admirable that he had such a soft side."
違,"You lose your precious locket on the road to somewhere. You ask people if they've seen it, but no luck. ""Just buy another one,"" someone says. ""I mean, what's the difference?"" Then of course you say ""Well, it makes a huge difference!! Since it has sentimental value, I don't want a different one! "" Then of course they understand.","You loose your LOCKET on the ROAD and report it to the 交番. They find one, and show it to you. 「これですか？」 But it's the wrong one... You say, 「いいえ。。違います。。」.","An odd version of The Road Less Traveled: ""I found a locket in the road, and that has made all the difference."""
緯,Spiderman buys a locket for Mary Jane because he wants to get HORIZONTAL with her.,"Spiderman on a boat, marking the Earth's latitudes. He first attaches a personal locket to a small piece of thread for ballast and good luck, and shoots with his right hand. After a few minutes (and lots and lots of thread), the locket and thread have flown around the world. Spiderman catches the locket with his left hand, and ties the thread's ends together. Voilà.","Hint : this kanji also means ""latitude"", which are the horizontal lines on a globe. Do you remember James Heisig's story for frame 175 ""black ink"" ? Here a cartographer on a ship, is using his ""thread locket"" to mark horizontal lines on a map. He pulls a chalked thread from the locket, and snaps it to mark horizontal lines. Imagine the ""thread-locket"" in the shape of a globe, filled with dark powder and a little bobbin of thread."
衛,"[defense; protection] For ""defense against the dark arts"" class, you go the magical boulevard and buy an enchanted locket.","Since it was in the middle of the boulevard, everyone could see she hit the man only in self-defense, as he was trying to steal her valuable locket.","I think of defense as an attribute in video games. Like Final Fantasy, for example. When you go to a new town, you walk up and down the boulevard for shops that will sell you better items. One of the best accessory items for defense is a locket that absorbs magical energy. Unfortunately, you can't buy it yet, as it costs over a hundred thousand gil."
韓,"There's a young Korean male actor, Yon-sama, famous amongst middle-aged Japanese women. Extremely famous. Read about his affect on Japan/Korean relations on Everything2.com. In any case, women just flipped over this guy, traveled to Korea to see his home, started taking Korean language classes, etc. So, imagine here the misty eyes of the Japanese women as they clutch their lockets with Yon-sama's picture inside watching his Korean romantic mini series called ""Winter Sonata"".",This character represents the flag of South Korea: a locket (circular taegeuk) in the middle of the mist (white background). http://en.wikipedia.org/wiki/Flag_of_South_Korea.,"The Korean army is wearing ""mist lockets"". When the lockets are opened, a mist spreads about a meter over the floor level, which allows the Koreans to advance without being seen."
干,Dry one item in ten minutes on the clothesline.,Vampire: Upside down samurai. They suck humans dry.,Note: the book shows the strokes for potato rather than dry...dry does not have the hook at the end.
肝,Well you all know that the liver is the part of the body that would be quite grateful if you led a dry lifestyle (i.e. no alcohol).,"Imagine a beat up liver(too much alcohol). The doctor takes your liver out of your body, and puts it on a clothes line to dry off. Then puts it back in your body, sealing up the flesh. A dry liver is a healthy liver he chuckles as he puts it back.",The slaughterhouse prefers to ship dried liver to the supermarkets (can you imagine boxes soaked in blood on the truck that delivers them?). Imagine them lifting the slabs of flesh and hanging them on the clothesline to dry.
刊,The newspaper pages are hung on the clotheseline to dry and then cut down with a sabre to be published.,"The newspaper pages are hung on the clotheseline to dry. This gives the government a chance to censor the news: they cut up unwanted stories with a sabre. Therefore, only state-approved stories are published.",The author's work was so dry that he had to threaten the publisher with a sabre in order to get them to publish it.
汗,"The way sweat is supposed to work: it gets your skin wet, and then as it evaporates/dries, it cools you off.","When you sweat your clothes become soaked with water, prompting you to hang them to dry on a clothesline.","Sweat a process to regulate body temperature : water comes out of the pores of the skin, and when it dries it cools you off."
軒,"Flats in the city are crowded. You get a space for your car in front, and a clothesline out back. Nothing else.",Small flats (garages) for cars help keeping them dry.,Did you hear about the guy obsessed with his car? He keeps it in his flat to keep dry.
岸,"At the base of mountain cliffs, there is usually a beach. You often can see people lying there, drying off after a swim.",Three impossibilities for a beach: There cannot be a beach at the top of a mountain. There cannot be a beach on the top of a cliff. There cannot be a beach that is completely dry.,"I use a play on words here to help with the similar keywords such as ""strand"", and ""coast"". The Beach Boys just had a concert down at the beach, and they're all wet after the performance. It's not dry enough down at the beach so they climb the nearest cliff. Still, it's not dry enough there so they climb the nearest mountain. Finally, the air seems dry and they take a rest while their clothes dry."
幹,"A fine mist is falling, and so everyone gathers around near the tree-trunk, effectively using the rest of the tree as an umbrella in order to keep dry.","By astridtops - In the rainy mist, Totoro is standing in front of a tree-trunk at the bus stop, under the umbrella he just received. Look at him smiling: even when the big drops fall, he remains dry! Great story...which I get to by thinking: tree-trunk->TT ->Tonari no Totoro. I also imagine Mickey Mouse is there too as the KUNyomi for this kanji is みき.","Note: The literal meaning of ""shinkansen"" is not ""bullet train"" but ""new trunk line"" 新幹線 because it only runs on a few main trunk lines. Regular trains serve all the branch lines to smaller cities."
芋,"If your potatos are growing flowers and those little hooked roots, you should either buy less or eat them faster.","If your potatoes are growing flowers, you need to store them in a more dry place, like hanging them on hooks so they don't accumulate moisture on the floor.","Believe it or not, originally the potato was cultivated because of its beautiful flowers rather than for eating the actual ""potato"" below. (historical fact)."
宇,Under the eaves of the house the poor family has potate plants.,"Very good image Erik. To help those who struggleded with this, the eaves of a house is usually the bit where you hang the roof gutter along, usually made of zinc or plastic and shaped as a half-pipe. It catches rain water, so it flows to a drain pipe instead of down onto people and windows. And in this family the potato plants grow along the eaves so the water pours down on them. They are poor. so no gutter.","This kanji means universe, seen here as a roof as that was how it was represented back then the vault of heaven. Today, we know that seen from the universe, our planet has the aspect of a potato, and not a perfect sphere."
余,You hang an umbrella upside-down on a hook of the scales and fill it with little potatoes. No luck: it weights too much.,"This is the kanji for 「あまり Amari」, which means too little in negative sentences and too much in the rest (always with a negative sense). I take the liberty of using the symbol "">"" (more than, another meaning!!) as the umbrella component, and using 二 (#2) and 小 (#110) for the potato primitive. So, this kanji either means ""two much"" (more than 2) or ""two little"". (thanks, Virtua_leaf and Thunderball!)",I was worried that my POTATOES were getting TOO MUCH direct sunlight so I stood over them with an UMBRELLA. Now they are getting too LITTLE rain! I clearly have TOO MUCH free time on my hands.
除,"To become a member of The Pinnacle, they test you on a scale. If you weigh too much, they exclude you.",You won't make it unless you exclude something. The climb to the pinacle cannot be completed if you are carrying too much. You just have to decide what you can afford to exclude.,"Before entering The Pinnacle, one must be weighed on a scale. The authorities have to exclude anyone who is over 300 pds since their weight might damage the floor."
徐,"You can't expect weight loss to happen overnight. You should limit going to the scale to weigh yourself to once a day or once a week, in order to observe the anticipated weight loss gradually.",I set up a column chart next to my scales so I could record my weight gradually changing.,Remember the urban legend of the ARMY COLUMN that weighed TOO MUCH with their rythmic marching that the bridge collapsed? Now ARMY COLUMNS will march GRADUALLY across so that they do not bear TOO MUCH on the bridge.
叙,"Amazed at the weight of his crotch, they conferred every honor upon him. (Image: guy with his junk on a scale getting a medal pinned to his chest/around his neck/being knighted, etc.)","When you confer again 又, you confer too much 余!","I bet there is some medal that is confered to the sumo wrestler weighting the most. Imagine him stepping on the scale and being declared the winner. Now where does the medal go, as he's only wearing a 'mawashi'? Right: directly on his crotch. Sorry for the image, but it'll stick."
途,"On this route, all trucks have to check in at the scales before they can get on the road.","There are too many roads, so you need to plan a route.","Truck drivers in the US have to drive the truck onto some massive scales at state borders, for tax reasons. They have to plan their route accordingly; there aren't scales on every road."
斜,The main bar of an old-fashioned scale(balance) will be very diagonal if you place a giant measuring cup on one side.,The scale tilts diagonally when a measuring cup filled with too much is set on one end.,"The constellation of libra (meaning "" scales"" in latin) is diagonal to the handle of the big dipper."
塗,If you add too much water to the paint it will drip onto the ground.,A true artisan mixes his own paint from water and soils on a scale in careful proportions.,"People ask why the ground of our backyard is entirely white. Well, my cheapskate dad wanted to add a fresh coat of white paint to our house. He bought the biggest, cheapest tub, placed it on a scale in our yard, and started diluting it with water. It was working fine, and he was adding water drop by drop and carefully checking the weight each time. However, his hand slipped, and he added too much water and the scale broke down violently, spilling the paint all over the ground."
束,"Mnemonic: Bundle of joy. Here I see the proverbial stork with a baby hanging from its mouth fly straight into a tree. Painful, but he doesn't drop the bundle.","Unlike in 杏, this big mouth isn't content to wait for apricots to fall in his mouth, so he has climbed the tree and is taking them in bundles.",A bundle of some kind has been stuffed into the opening of a tree.
頼,"We found a bundle of severed heads in your room, its difficult to trust you.",Don't Trust the press just a bundle of lies on every page!,"[trust; request] Do you trust anything? Actually we do, as long as a bundle of heads say the same thing. If a bundle of scientist's heads say we live in a 12 dimensions universe, why should we not trust them?"
瀬,You need complete trust in your water guide to attempt Class 5 rapids.,The water in the rapids can't be trusted.,"You can never trust the water in the rapids, it will do everything it can to pull you under. Imagine a line of natives with bundles upon their heads all fighting the rapids to cross the river."
勅,"This is an imperial order for pizza. To deliver the huge bundle of pizzas to the emperor, the pizza boy needs huge muscles.",Imperial order carries quite a bundle of executive power.,"""Did someone have an imperial order for pizza?"" says the muscular delivery boy with a large ""bundle"" in the new adult film, ""The Emperor's Nude Groove""."
疎,"[True story] In Osaka the homeless (the alienated) live in large numbers around the city zoo. Picture them in winter all bundled up in rags trying to keep warm, alienated from the society, living literally worst than the animals in the zoo who at least are bundled in their natural furs and have pens to live in sheltered from the elements.",This kanji is so strange that it was alienated at the kanji zoo. The bundle of joy stork bundles this kanji up and takes it to a kanji foster home.,"Think of a Kanji Zoo, where we bundle up all the bizarre and hard to remember kanji, to be ridiculed and alienated from the other more sensible kanji. This kanji definately belongs there!"
辣,"bitter, spicy, bundle: In a desperate attempt of creating a new drink, they decided to mix a bitter drink with a spicy one -- now bundled together for the same price of one! However, bitterness didn't go well with the spicy, as seen in the misshape to the left.",The bitter taste was so awful that I put whole bundle of spice in my mouth to get rid of it.,A spicy bundle of herbs to counteract the bitterness.
速,"If you find a bundle of money on the road, pick it up quick before anyone notices.","Uh oh. The stork just dropped the bundle of joy in the middle of the road. Somebody save it, quick!",A bundle of optic fibers running along the road makes for quick internet access.
整,"Recycling in Japan, you have to make sure all your bundles are organized correctly otherwise the taskmasters won't accept them.","Organize, def: when taskmasters bundle tasks correctly.",When a bundle of taskmasters organize something chances are it won't be done correctly because they are constantly arguing.
剣,"If it helps, make the awl primitive ice pick instead. They're basically the same thing. This kanji is an easy David vs. Goliath story of the icepick vs. the saber...","Every self-respecting ninja knows the story of ""The Awl and the Sabre"". According to the legend, a woman once defended herself by using an awl against a sabre! She used to work all day with that awl. However, the bandit using the sabre had no skill. And thus the awl beat the sabre. And from there the saying goes : ""The sabre is powerless against the awl, if one can't use the sabre.""","ICE PICK primitive: How do you FIT a PERSON into a tight BOX (mouth primitive)? Poke holes in him with a ICE PICK, draining the blood and making the body smaller. STORY: If that does not work, take out your SABER and cut them up into neat pieces."
険,"The edge of The Pinnacle is precipitous, so they have a guard posted with an ice pick to poke people and keep them from the edge.",Getting to the Pinnacle is a very precipitous climb. You need to drive awls into the wall as you climb up.,Well I have someone climbing an inflatable precipitous pinnacle. Once at the top it is so precipitous that the person is afraid to climb down and instead punctures the inflatable pinnacle with an awl to get safely and slowly back to the ground.
検,You're giving a TREE an EXAMINATION. You take a wood sample from the TREE with an AWL (cmp 校 (#1371)).,"After intense cross-examination from the prosecutor, the tree confessed to murdering the wood-pecker with an awl... ""He just kept at it, he kept poking at me with that beak, so I thought I'd see how HE liked it!!"" The autopsy examination revealed at least a dozen puncture wounds, what a brutal case.",You're giving the tree an examination. You use an ice pick to chip a sample of the tree for examination.
倹,"Mr. T is as frugal as they come. He uses his one ice pick for everything: to eat, pick his teeth, clean his toilet, kill people, cook, etc.","Mr. T is so frugal, he hires Frankenstein as a butler because he doesn't have to pay him.","Mr T is a frugal person in spite of his brash appearance. He brings an awl with him to fight for the A team, not wasting needless ammo and dynamite, since no one ever gets killed anyway in A team series."
重,The first computer in the world was as heavy as thousand computers are now.,"To me it looks like a car with two extra wheels, like a truck. As it is a very heavy vehicle I suggest an image of a huge mining truck, like the yellow Liebherr T282B. Remember that the first ""wheel"" is a bit bent. http://www.primidi.com/2004/06/21.html.",1000（千）computers (里)　are so heavy.
動,"Even though the furniture is heavy, it'll be easy to move with all the muscles that he has.","His MUSCLES are so HEAVY, he barely can move...thats ironic.",Heavy things can be moved with a bit of muscle.
腫,A tumor is a useless body part that is nothing but heavy.,"The world's heaviest tumor ever removed from a human body was a 300-pound stomach tumor, removed in 1991 in Stanford Hospital. Now that's a heavy body part!","When flesh clumps together and gets heavy, it forms a tumor."
勲,"A meritorious deed? Like moving a damsel in distress out of a fire, maybe.",Prometheus did a meritous deed for humanity by MOVING FIRE from the gods to us humans.,Oskar Schindler is best remembered for his meritorious deed: moving 1200 Jews to his factory so that they could be saved from the fires of Auschwitz.
働,Mr. T's real line of work is for a moving company.,"A person who moves something is doing work, physically speaking.","Mr T, move. Mr Ts new exercise video called ""Work it suckaz"". Here is shouting ""move it work it move work it!"""
種,"This kanji also means ""Seed."" STORY: Scientists have developed a new SPECIES of WHEAT that has large HEAVY seeds. Now we can feed the world.","After the whole low-carb craze, scientists developed a new low-carb species of wheat, so that dieters could eat it without getting heavier.",The heavy wheat is a special type or species of wheat used to fatten livestock.
衝,Two heavy trucks in a game of chicken collide while racing toward each other on the boulevard.,Something heavy rolling down the middle of the boulevard is definitely going to end up colliding with something.,"衝 【しょう】 (n) (1) important point (e.g. on a route); (2) important role (responsibility, etc.); (3) (astronomical) opposition. STORY:Two HEAVY trucks are playing a game of chicken on the BOULEVARD. However, they both missed the IMPORTANT POINT: that they have to turn in different directions. Naturally, they COLLIDE when they both turn in the same direction. (ty dingomick)."
薫,"Do you know how they make those FRAGRANT air fresheners? Well you take some FLOWERS, compress them with a HEAVY weight, and put them on an OVEN FIRE for a while... (cmp 芳 (#532)).",The heavier the flowers the stronger their fragrance when you burn them.,These flowers emit very heavy fragrance when burned over the fire (e.g. the fragrant jasmine flowers).
病,Caveman got ill after flying third class. The cabin air and food got to him. (Primitive: these all got MUCH easier when using CAVEMAN instead. ).,"If you hang around a third class hospital, you'll get ill with the sickness everyone else has.",Hint: The ill in ill almost looks like the roman numeral III. Use as a hint to 3rd class. The ill are more abundant in third class countries (third world).
痴,Of course caveman is stupid. He doesn't know anything. He's a caveman!,"This kanji shows stupidity as a ""knowledge-sickness"". Everybody can be stupid at times, and it usually happens because of a lack of experience. Hence the stupidity is a ""knowledge sickness"".","Ever since reading dingomick's story, I've had this dialogue stuck in my head when I come across the keyword: ""Caveman not stupid, Caveman know things."""
痘,Caveman has horrible pox. They look like edamame beans oozing bight green paste.,Pox is a sickness which symptoms include bean-shaped bumps on the skin.,"Mr. Bean tries to explain to the caveman that he is covered in chicken pox and not to come near him, but the caveman misunderstands and eats him. ""THIS CHICKEN POX NOT TASTE GOOD."""
症,"Once you have all the symptoms right, you have correctly identified the sickness.",A sickness can only be correctly diagnosed if the symptoms are identified correctly.,One of the SYMPTOMS of being a CAVEMAN is you don't get much CORRECT in a test.
瘍,The witches piggy bank was cursed with a spell causing any thief who stole it's contents to fall ill. The illness would result in the victim being covered from head to toe in a mass of carbuncles. Crime doesn't pay!,Caveman has to open up his piggy bank to receive treatment for his monstrous carbuncle.,"His sickness caused numerous carbuncles, which when emptied by the doctors also emptied his piggy bank."
痩,The sickness that only allows you to eat monkey crotch will surely make you lose weight.,"Caveman want to lose weight... but not know how. He sees a lean monkey playing with its crotch. Ah! So that's how I lose weight, and he imitates the monkey.","Simian Immunodeficiency Virus, the precursor to HIV, is a sickness that is transmitted by carnal knowledge of a monkey's crotch. Naturally, it causes one to lose weight. Cavemen used to catch it all the time."
疾,"I picture a sick caveman, and two people rapidly blowing darts at him. One is blowing poison darts, the other is blowing antidote darts. Will the sick caveman live or die? Depends on how rapidly they fire.","If shot with a poison dart, sickness develops rapidly.","Hm, it's getting tougher to differentiate similar kanji: 迅 (#280), 急 (#1146), 速 (#1669). Let's consider rapidly as a rapid-fire weapon: rat-tat-tat-tat-tat-tat. This weapon fires poison darts rapidly in an automatic rapid-fire fashion. The poison darts are not lethal; they merely induce sickness in the victims."
嫉,If you go through women rapidly you will be the object of envy.,"Ah, puberty ... the girl that starts her journey towards womanhood the most rapidly will become the subject of envy from all her classmates.","Women get envious very rapidly. Picture one woman walking into a party in a gorgeous dress, and all other women there rapidly getting envious of her beautiful dress."
痢,"For a country full of pay-per-use public toilets, sudden diarrhea is certainly the most profitable sickness!",Diarrhea is a sickness that makes wheat go through me like a saber.,This poor caveman happens to have celiac disease (an allergy to wheat). Eating wheat gives him terrible diarrhea. It feels like a rack of sabers going through!
痕,"I suffer from silver-sickness, that is, if anything made of silver even touches my skin it leaves a scar.",Caveman has a scar because he was shot with a silver bullet when he was mistaken for a werewolf.,"silver nitrate will burn away sick tissue, but it will leave a scar. (http://en.wikipedia.org/wiki/Silver_nitrate#Medicine)."
疲,I picture an exhausted sick caveman snuggling up in a comfy pelt blanket.,Your body feels tired when you have a sickness. All you want to do is wrap yourself up in a nice warm pelt and get better.,Caveman was tired after hauling mammoth pelts all day.
疫,"Sickness-missiles are being engineered by bio-terrorists to spread epidemics all over the world. Imagine seeing footage of a place where those sickness-missiles are built : rows after rows of missiles, and if you look closely on each is inscribed in tiny letters the name of different sickness such as ""flu"", ""plague"", etc.","SICKNESS / MISSILE ** Hint: True fact about biochemical warfare: in the medieval and ancient world, SICKNESS in the form of the corpses of those who had died from some EPIDEMIC or plague were often hurled at the enemy via the crude MISSILE launchers of the time. [C].","When CAVEMAN first fashions a primitive MISSILE and kills a mammoth with it, the technique spreads like an EPIDEMIC across the inhabited world."
痛,The CAVEMAN felt such a pain after his POGO STICK got stuck in his butt.,When I was feeling sick my mum said I shouldn't go out to play on my pogo stick until I felt better. Well I wasn't strong enough to stay up on it and so fell over and have the pain to prove my mum right.,"Think of the phrase pain in the xxx. Then think of a pogostick up your xxx. That's painful, right? The real question is why a pogostick is up your xxx. That's sick, dude."
癖,Caveman has a bad mannerism of putting ketchup on everything he eats. I guess that's ok since raw mammoth can't be too good...,This mannerism is a sickness of the modern generation. It was only recently that we started putting ketchup on everything.,"Building on inuki's idea: Monk, who suffers from OCD (a sickness involving mannerisms) sees a row of ketchup bottles at a restaurant crime scene and spends twenty minutes making the Heinz labels face exactly the same direction."
匿,"Young kids likes to hide in cardboard boxes. (Primitive: CARDBOARD BOX, especially kids playing with them.)","This kanji doesn't really mean hide in the sense of hide and seek. It is more towards the meaning of hiding one's identity. --------------------------AKA anonymity----------- Schools are getting so strict now about personal identity, that they make young children keep anonymity by making them wear cardboard boxes over there heads.","Note that stroke order with box primitive is as follows: first horizontal line, then enclosed element, and then a hook (it's incorrect in 4th edition)."
